cinema_id,SNS1,SNS2,actor,original,sales
1,120.5,650.2,280.3,1,11250.0
2,95.3,420.1,195.7,0,9500.0
3,210.8,1100.5,380.2,1,13800.0
4,85.2,380.6,150.4,0,8200.0
5,175.6,890.4,340.8,1,12750.0
6,140.3,720.5,295.6,0,10900.0
7,65.8,,220.5,1,7800.0
8,190.2,950.3,360.1,1,13100.0
9,110.4,580.7,240.3,0,10200.0
10,155.9,820.6,315.4,1,12200.0
11,75.6,350.2,180.9,0,8500.0
12,200.3,1050.8,390.7,1,13950.0
13,125.7,670.4,270.2,1,11400.0
14,,490.3,210.6,0,9800.0
15,165.8,870.9,325.8,1,12500.0
16,88.4,410.2,165.3,0,8900.0
17,195.6,1000.7,375.4,1,13600.0
18,135.2,710.6,285.1,0,11100.0
19,70.9,340.8,190.7,0,7900.0
20,180.7,920.5,350.2,1,12900.0
21,100.5,520.3,230.8,0,9900.0
22,160.3,850.7,310.4,1,12350.0
23,78.2,370.6,175.2,0,8600.0
24,185.9,970.4,365.9,1,13250.0
25,115.8,600.5,255.3,1,10600.0
26,145.6,750.8,300.7,0,11650.0
27,82.7,390.4,160.8,0,8800.0
28,175.4,900.6,345.3,1,12850.0
29,105.9,550.2,245.9,0,10050.0
30,170.2,880.3,330.5,1,12600.0
31,92.5,440.7,205.4,0,9300.0
32,205.8,1080.9,395.6,1,14100.0
33,130.4,690.5,275.8,1,11550.0
34,68.3,330.1,185.2,0,7700.0
35,190.7,980.8,370.4,1,13400.0
36,112.6,570.4,250.6,0,10300.0
37,155.3,830.6,320.9,1,12300.0
38,85.8,400.3,170.5,0,8950.0
39,198.2,1020.7,380.8,1,13700.0
40,120.9,640.6,265.4,1,11200.0
41,73.5,360.4,195.3,0,8400.0
42,183.6,940.5,355.7,1,13050.0
43,108.7,560.8,235.2,0,10100.0
44,150.5,790.4,305.6,1,12100.0
45,80.4,380.9,155.7,0,8700.0
46,188.3,960.6,360.5,1,13300.0
47,118.2,620.3,260.8,1,11050.0
48,90.6,430.5,200.4,0,9400.0
49,172.8,910.7,335.9,1,12700.0
50,125.3,660.6,270.5,0,11300.0
51,160.8,1500.4,280.6,0,3000.0
52,95.7,450.8,210.3,0,9600.0
53,192.5,990.6,375.8,1,13550.0
54,110.8,590.4,245.7,0,10250.0
55,165.4,860.8,325.3,1,12450.0
56,85.9,410.7,175.8,0,8850.0
57,200.6,1060.5,390.4,1,14000.0
58,132.7,700.3,280.9,1,11600.0
59,72.4,350.6,188.4,0,8100.0
60,178.9,930.4,348.6,1,12950.0
61,105.3,540.7,242.5,0,10000.0
62,168.7,870.5,328.7,1,12550.0
63,88.6,420.4,195.6,0,9200.0
64,195.8,1010.8,378.3,1,13650.0
65,115.2,610.6,258.4,1,10700.0
66,148.9,770.7,302.8,0,11750.0
67,78.8,375.3,165.9,0,8650.0
68,185.4,950.7,362.4,1,13200.0
69,102.6,530.5,238.6,0,9950.0
70,162.3,840.8,318.5,1,12400.0
71,92.8,435.6,202.7,0,9350.0
72,198.7,1040.6,388.9,1,13850.0
73,128.5,680.4,273.6,1,11500.0
74,70.6,342.8,182.5,0,7850.0
75,188.6,970.5,368.7,1,13350.0
76,112.9,575.3,248.9,0,10350.0
77,158.4,820.9,315.8,1,12250.0
78,82.9,395.7,168.3,0,8900.0
79,193.4,1000.4,376.5,1,13600.0
80,122.6,650.7,268.7,1,11300.0
81,75.3,365.4,192.8,0,8450.0
82,180.8,925.6,352.9,1,13000.0
83,107.4,555.8,240.6,0,10150.0
84,152.7,805.5,308.4,1,12150.0
85,87.5,415.9,178.6,0,9050.0
86,196.9,1025.7,382.7,1,13750.0
87,118.6,635.4,263.5,1,11150.0
88,93.7,445.3,207.4,0,9450.0
89,175.9,915.8,342.6,1,12800.0
90,127.8,675.6,275.3,0,11450.0
91,68.9,335.7,180.6,0,7650.0
92,190.3,985.9,372.8,1,13500.0
93,113.5,595.7,252.7,0,10400.0
94,167.6,875.4,332.6,1,12650.0
95,90.2,425.8,198.5,0,9250.0
96,202.4,1070.6,395.8,1,14150.0
97,135.8,715.3,288.4,1,11700.0
98,73.6,355.9,187.3,0,8300.0
99,186.7,955.8,365.6,1,13250.0
100,108.9,565.4,243.8,0,10200.0
