budget,popularity,runtime,vote_average,genre,revenue
42905,11.13,154,3.5,Comedy,43797
10144,73.65,146,7.7,Action,20277
39698,42.19,63,1.8,Comedy,40885
34118,60.2,131,2.8,Horror,27300
15446,44.92,95,8.3,Action,23882
11463,69.81,103,3.5,Comedy,14111
23059,10.22,108,1.9,Drama,20366
40565,26.45,65,7.6,Action,56246
25807,7.88,97,8.5,Drama,21786
38837,19.23,68,1.4,Comedy,37967
19965,98.52,169,3.1,Action,29666
25911,27.8,141,8.5,Comedy,27892
25260,35.53,145,3.4,Action,33390
40920,63.5,128,7.6,Comedy,36478
31294,37.95,178,6.8,Comedy,28512
45866,32.43,158,8.0,Comedy,45861
3103,80.5,111,3.4,Comedy,6382
38170,87.64,100,2.9,Horror,28028
26928,88.47,142,5.1,Drama,24126
10150,24.66,131,5.9,Horror,7017
39242,39.94,88,10.0,Comedy,49354
34392,49.35,156,1.4,Action,42285
11016,62.74,161,7.1,Action,20704
26216,38.16,119,5.8,Action,30319
45583,72.07,147,9.0,Drama,40319
43006,34.02,97,4.9,Horror,29221
1212,95.38,172,7.5,Comedy,8292
34271,91.26,171,6.6,Comedy,41822
11016,37.39,80,5.9,Action,15555
40252,32.42,62,2.0,Drama,31108
21153,23.95,90,8.9,Action,28293
6613,73.19,164,1.6,Comedy,11364
9414,65.98,130,2.5,Horror,7973
14880,92.89,156,7.6,Comedy,19861
47723,31.17,145,6.8,Horror,35660
34919,45.15,91,3.0,Drama,25637
2378,58.83,89,6.3,Action,8398
5652,70.78,67,3.1,Action,8299
22654,7.09,90,3.5,Horror,12298
15040,53.92,152,9.4,Horror,14315
16925,78.46,163,4.7,Action,29063
7352,65.9,105,4.8,Horror,7508
48780,5.42,143,9.9,Action,62679
4972,40.26,103,8.2,Action,11232
17295,19.16,128,5.0,Horror,10344
13025,27.85,91,8.9,Action,19172
30041,80.8,169,6.0,Action,42016
43738,99.93,167,1.1,Action,64364
16491,16.63,122,5.3,Horror,11994
4842,16.46,60,9.9,Drama,5640
30819,28.52,149,9.6,Horror,23928
11144,18.99,87,9.7,Action,17573
21552,5.72,134,5.3,Comedy,20269
4727,96.08,70,8.7,Action,16292
39996,6.8,170,3.1,Action,53258
38334,24.62,136,1.4,Action,50106
28474,65.74,132,5.7,Drama,24584
14386,66.97,100,3.1,Horror,10859
9577,67.17,98,5.1,Action,17279
1610,45.83,132,10.0,Action,10700
36234,21.32,93,2.2,Drama,27309
5508,87.93,107,3.6,Horror,6495
36600,70.35,138,9.9,Action,47663
44769,81.71,98,9.4,Action,55703
9800,26.45,173,2.0,Comedy,11019
18848,28.18,86,7.5,Comedy,24117
46055,63.42,93,5.5,Drama,40005
4329,9.23,114,8.5,Action,9762
1232,33.36,76,6.7,Drama,3485
11589,74.12,130,7.4,Action,20455
8331,7.52,173,7.2,Comedy,11154
36755,3.6,107,6.2,Comedy,42027
29166,12.74,99,4.3,Action,35438
24449,21.01,91,7.0,Drama,25002
37692,88.41,112,9.8,Comedy,32940
16514,86.46,162,8.3,Horror,17232
2624,17.94,178,4.0,Horror,2724
44903,86.41,163,3.2,Comedy,46649
46958,10.81,171,1.3,Horror,29926
15577,19.96,177,5.1,Drama,11521
15915,22.29,144,2.7,Drama,12946
19258,86.44,158,3.5,Horror,16288
45532,98.11,128,4.0,Action,70953
8559,87.7,93,2.6,Drama,9541
3507,10.84,115,4.1,Drama,2893
29599,60.62,125,2.0,Comedy,29133
17693,4.44,115,1.0,Comedy,16539
24869,43.13,145,9.3,Drama,25565
44475,84.8,152,9.1,Drama,40239
44705,40.84,111,7.3,Comedy,49411
13572,42.04,180,4.4,Comedy,16430
41338,56.91,111,5.9,Action,60178
20914,28.69,115,8.1,Drama,18564
31473,44.18,146,2.9,Horror,20813
49231,16.97,70,3.6,Drama,37791
7120,81.84,156,3.1,Drama,8108
15722,80.66,78,1.2,Comedy,18027
32138,61.13,158,1.7,Horror,22818
42272,57.57,151,7.3,Horror,30780
27191,24.4,143,7.2,Action,36038
28862,21.88,162,9.6,Horror,18683
4291,55.74,177,8.6,Horror,6813
9738,80.14,145,5.8,Drama,12311
30004,61.27,152,9.0,Horror,21844
36905,44.59,80,7.7,Horror,25977
30495,25.92,91,8.6,Drama,28613
35163,48.46,90,3.5,Action,53137
47762,28.57,94,4.0,Action,59793
10068,15.08,109,7.2,Comedy,12430
5209,41.49,102,5.9,Horror,5409
5080,20.68,113,4.5,Action,6156
38728,38.04,60,9.5,Drama,34742
26558,85.34,166,4.8,Comedy,31598
32996,21.94,115,5.4,Horror,27862
23028,66.89,162,4.6,Comedy,26230
31630,91.95,139,5.8,Horror,25376
39790,56.44,63,1.8,Horror,26136
9893,86.69,83,1.5,Horror,7368
22453,21.17,101,4.0,Horror,16608
19235,75.2,166,4.8,Action,31946
31822,1.94,129,1.5,Drama,26108
15694,65.01,159,9.6,Action,25630
3033,94.96,85,8.6,Comedy,12212
16633,12.62,145,2.0,Comedy,13400
31476,69.95,158,4.3,Action,46066
11732,96.47,73,6.2,Drama,17846
38735,67.73,108,4.6,Comedy,37142
5980,59.21,166,6.6,Action,13166
46691,77.25,168,7.2,Action,65287
38088,78.26,104,5.8,Drama,33165
5519,50.6,103,1.1,Horror,3464
33125,10.55,106,6.7,Horror,22584
47354,15.3,82,7.6,Drama,35633
41364,80.82,128,8.0,Horror,32688
29545,82.57,135,3.4,Comedy,29873
6679,27.89,117,3.2,Horror,5644
38345,61.03,108,4.0,Horror,24633
22300,18.18,87,4.2,Drama,17729
23304,27.97,136,7.3,Drama,23413
37424,1.02,84,1.8,Horror,19874
33019,55.52,90,7.2,Horror,24784
30371,79.29,71,3.6,Horror,24759
46336,24.33,144,6.2,Horror,26470
37272,53.09,114,10.0,Drama,35862
24056,70.29,94,3.8,Comedy,27331
8907,72.13,100,2.1,Comedy,12139
13552,21.64,121,3.5,Drama,10063
7588,83.26,97,3.0,Comedy,9690
20809,1.41,128,2.1,Action,24697
4573,55.34,149,9.5,Horror,7632
7723,87.27,133,3.6,Horror,8423
29866,34.07,66,3.3,Horror,20284
8476,82.21,111,5.4,Action,15799
10943,14.92,132,9.5,Action,18680
17265,11.85,157,4.7,Comedy,18434
35247,38.04,176,5.0,Horror,22998
21013,56.86,67,6.5,Action,35906
14617,62.55,93,6.9,Comedy,19860
16719,17.38,69,2.4,Horror,8974
30524,68.94,120,3.6,Comedy,35123
19881,70.7,149,8.7,Action,29621
46048,23.34,93,8.1,Comedy,51241
28861,11.48,88,6.8,Drama,27386
10321,7.14,81,8.1,Drama,9247
29780,12.44,148,3.7,Horror,21379
18841,50.05,123,4.9,Action,27888
29313,73.45,137,3.3,Action,43412
16002,96.19,167,8.7,Action,36103
45058,82.14,133,1.4,Comedy,45398
31834,51.9,116,9.2,Comedy,33755
39360,43.59,164,5.4,Action,47294
31802,34.8,102,3.9,Action,36853
11539,32.98,148,5.5,Horror,9296
37051,3.67,71,3.8,Drama,30025
8597,97.02,111,8.8,Action,21332
44100,86.94,119,4.7,Comedy,51668
34976,36.18,156,5.5,Horror,24592
4382,20.36,130,2.2,Drama,4036
29712,88.08,122,2.1,Comedy,31594
47516,15.84,130,1.1,Horror,37911
7108,22.47,167,9.2,Horror,8228
8698,64.77,79,5.5,Drama,9451
34349,70.54,113,8.5,Horror,23563
16973,45.68,78,4.5,Comedy,19488
5575,27.62,161,8.7,Drama,8214
34275,26.72,60,3.5,Drama,29684
39465,57.99,144,5.4,Comedy,44254
30264,53.86,104,4.0,Horror,21081
30841,93.29,171,2.7,Comedy,31850
38473,38.3,169,8.0,Action,44526
21852,74.47,150,9.2,Horror,18270
26302,98.84,161,8.4,Comedy,36990
33461,96.48,76,5.5,Drama,32382
7577,87.42,116,1.9,Horror,6403
2005,72.24,112,8.8,Comedy,8956
5903,46.95,93,4.0,Horror,5483
43587,8.03,102,8.7,Horror,27160
21752,62.68,173,7.8,Action,34673
41465,6.84,140,7.2,Drama,35318
15908,74.68,115,9.8,Action,25389
30076,16.64,98,9.1,Action,41984
22258,79.61,97,4.2,Horror,18128
10540,24.42,112,6.1,Comedy,13862
12140,17.51,138,8.8,Comedy,17201
33615,91.28,78,3.1,Drama,26200
31118,25.53,61,9.1,Horror,20249
19850,67.76,80,1.7,Drama,18420
39507,29.92,114,7.2,Horror,28969
