budget,runtime,revenue
50,90,120
80,105,200
100,120,250
150,135,380
200,150,520
75,95,180
120,125,310
180,140,450
90,110,220
110,115,270
65,100,160
140,130,360
160,145,420
85,108,210
95,112,240
130,128,340
170,155,480
55,92,140
105,118,260
125,132,320
145,138,390
190,148,510
70,98,175
115,122,290
135,127,350
155,142,410
185,152,490
60,88,150
100,117,255
120,124,305
140,136,370
165,149,440
195,158,530
80,102,195
110,120,275
130,129,335
150,139,395
175,147,465
90,109,225
105,116,265
125,126,315
145,134,380
170,144,455
75,96,185
100,115,250
120,123,310
140,131,365
160,143,430
85,107,215
95,114,245
115,121,285
135,130,350
155,141,415
180,150,485
65,94,165
110,119,270
130,127,340
150,137,400
175,146,470
200,160,550
70,97,170
90,108,220
105,118,265
125,125,320
145,135,385
165,145,445
190,155,520
55,90,135
80,104,200
100,116,250
120,124,310
140,132,370
160,142,435
185,153,500
75,99,180
95,112,240
115,122,290
135,128,345
155,140,410
175,148,475
65,93,160
85,106,210
105,117,260
125,126,315
145,136,380
165,144,440
190,156,525
80,103,195
100,115,255
120,123,305
140,133,365
160,146,425
180,151,490
60,91,145
75,98,185
90,110,230
110,120,280
130,129,340
150,138,400
170,147,460
195,159,540
