Pclass,Age,SibSp,Parch,Fare,Sex,Survived
3,22.0,1,0,7.25,male,0
1,38.0,1,0,71.28,female,1
3,26.0,0,0,7.92,male,0
1,35.0,1,0,53.10,female,1
3,,0,0,8.05,male,0
3,,0,0,8.46,male,0
1,54.0,0,0,51.86,male,0
3,2.0,3,1,21.08,male,0
3,27.0,0,2,11.13,female,1
2,14.0,1,0,30.07,female,1
3,4.0,1,1,16.70,female,1
1,58.0,0,0,26.55,female,1
3,20.0,0,0,8.05,male,0
3,39.0,1,5,31.28,male,0
2,,0,0,13.00,female,1
3,14.0,0,0,7.85,female,0
2,55.0,0,0,16.00,female,1
3,2.0,4,1,29.13,male,0
2,,0,0,13.00,male,0
3,31.0,1,0,18.00,female,0
1,,0,0,29.70,male,1
3,,0,0,7.75,male,0
2,35.0,0,0,26.00,male,0
2,34.0,0,0,13.00,female,1
1,15.0,0,2,211.34,female,1
1,28.0,0,0,82.17,male,0
3,8.0,3,1,21.08,female,0
1,38.0,1,0,227.52,female,1
3,,1,0,7.23,male,0
1,19.0,3,2,263.00,male,1
3,40.0,1,0,9.48,female,0
1,,0,0,30.50,male,0
1,,1,0,146.52,female,1
3,,0,0,7.75,male,0
2,66.0,0,0,10.50,male,0
2,28.0,1,0,26.00,female,1
1,42.0,1,0,52.00,male,0
3,21.0,0,0,8.05,male,0
1,18.0,2,2,262.38,female,1
3,14.0,1,0,11.24,female,0
3,40.0,1,0,9.48,male,0
2,27.0,1,0,21.00,female,1
3,,8,2,69.55,male,0
1,3.0,1,2,151.55,female,1
1,19.0,1,0,91.08,female,1
3,18.0,0,0,7.78,male,0
2,7.0,0,2,26.25,female,1
3,21.0,0,0,7.73,male,0
1,49.0,1,0,76.73,male,0
3,29.0,0,0,7.88,female,1
1,65.0,0,1,61.98,male,0
1,21.0,0,1,77.29,female,1
2,28.5,0,0,33.00,male,0
1,5.0,1,2,151.55,female,1
3,11.0,5,2,46.90,male,0
3,22.0,0,0,7.25,male,0
3,22.0,0,0,7.90,male,0
2,30.0,1,0,24.00,female,1
3,,0,0,7.23,male,0
2,44.0,1,0,26.00,male,0
3,25.0,0,0,7.73,female,0
2,24.0,0,0,13.00,female,1
3,,3,1,25.47,male,0
2,37.0,1,0,26.00,female,1
3,54.0,1,0,14.45,male,0
3,,0,0,7.90,female,0
2,29.0,0,0,10.50,male,0
1,62.0,0,0,26.55,male,0
3,30.0,0,0,7.23,male,0
3,41.0,0,2,14.11,female,0
1,29.0,0,0,30.00,male,1
3,30.0,0,0,7.75,female,0
3,35.0,0,0,7.05,male,0
2,50.0,0,0,10.50,female,1
3,,1,0,15.74,female,0
1,3.0,1,1,81.86,male,1
3,52.0,0,0,7.75,male,0
1,40.0,0,0,27.72,male,0
3,,0,0,7.90,male,0
2,36.0,0,0,13.00,male,0
2,16.0,0,0,10.50,female,1
1,25.0,1,0,91.08,female,1
3,58.0,0,0,7.75,male,0
3,35.0,0,0,7.13,female,0
2,,0,0,10.50,male,0
1,25.0,0,1,91.08,male,0
3,41.0,0,0,7.13,male,0
3,37.0,1,0,14.45,male,0
1,,1,0,52.55,female,1
3,63.0,0,0,7.75,male,0
3,45.0,0,0,6.98,male,0
2,,0,0,10.50,male,0
3,7.0,4,1,29.13,female,0
1,35.0,1,0,83.48,female,1
3,65.0,0,0,7.75,male,0
2,28.0,0,0,13.00,male,0
3,16.0,0,0,7.73,female,1
3,19.0,0,0,7.78,male,0
1,33.0,0,0,86.50,male,0
3,,0,0,7.23,female,0
